1300,Signals2You,19,"101 W. 23rd Street,  #399","New York, NY  10011",group1
708,WavesNavigator,22,"101 W. 23rd Street,  #399","New York, NY 10011",
710,SmartRespond,10,"101 W. 23rd Street,  #399","New York, NY 10011",
838,ProgressInternet,19,"101 W. 23rd Street,  #399","New York, NY 10011",
845,WavesSystems,22,"101 W. 23rd Street,  #399","New York, NY 10011",
1044,SignalProgress,19,"101 W. 23rd Street,  #399","New York, NY 10011",
1318,ReachLead,108,"101 W. 23rd Street,  #399","New York, NY 10011",
1366,AnalyzeConnector,22,"101 W. 23rd Street,  #399","New York, NY 10011",
1368,FrameNetworkz,11,"101 W. 23rd Street,  #399","New York, NY 10011",
1370,VenueBoxes,3,"101 W. 23rd Street,  #399","New York, NY 10011",
1376,SeriousWays,105,"101 W. 23rd Street,  #399","New York, NY 10011",
1377,InitiateToday,104,"101 W. 23rd Street,  #399","New York, NY 10011",
1379,BossWizard,46,"101 W. 23rd Street,  #399","New York, NY 10011",
1076,DeliveryMailing,28,"1562 First Avenue, PMB 309","New York, NY  10028",group2
627,ResultsActive,55,163 3rd Ave. #277,"New York, NY  10003",group3
1043,LanesPioneer,6,163 3rd Ave. #277,"New York, NY  10003",
1295,JetlineSolutions,33,163 3rd Ave. #277,"New York, NY  10003",
320,VibrantSpark,8,"1710 First Avenue, #105","New York, NY 10022",group4
331,PointsPlaza,17,"1710 First Avenue, #105","New York, NY 10022",
716,PointMarkets,17,"217 E. 86th Street, #341","New York, NY  10028",group5
776,TurfMedia,43,"217 E. 86th Street, #341","New York, NY  10028",
825,CircuitInternet,21,"217 E. 86th Street, #341","New York, NY  10028",
835,OnlineHelios,53,"217 E. 86th Street, #341","New York, NY  10028",
1093,ThoughtMailer,7,"217 E. 86th Street, #341","New York, NY  10028",
2,Days,1,"303 Park Avenue South, #1088","New York, NY 10010",group6
4,Tonic,1,"303 Park Avenue South, #1088","New York, NY 10010",
1325,SpectacleSolution,92,527 Third Ave. #110,"New York, NY 10016",group7
1326,QuirxNow,28,527 Third Ave. #110,"New York, NY 10016",
118,Goals,22,"954 Third Avenue, Ste #716","New York, NY  10003",group8
313,FrameFinity,11,"954 Third Avenue, Ste #716","New York, NY 10022",
314,GoalsVendor,22,"954 Third Avenue, Ste #716","New York, NY 10022",
